Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,1.0737,S355G3S / GL-E36,Type WPB,Alloy 2304,S42200,,A731,,Golanhöhen
,,,,,,,,,,,,1.0756,"S355G3S / GL-EH36, GL-E36",WPB,SAF 2304,S42100,,A738,,Tadschikistan
,,,,,,,,,,,,1.0757,S450J0,Grade Type A2,Lean Duplex,R30155,,A739,,Tansania
,,,,,,,,,,,,1.0758,S355K2G3 / S355K2,Grade A2,Forta DX 2304,S64152,,A743,,Thailand
,,,,,,,,,,,,1.0760,S355K2 / S355K2G4,Type A2,LDX 2101,S64153,,A744,,Togo
,,,,,,,,,,,,1.0762,C60,A2,Acidur 4362,S64154,,A747,,Tonga
,,,,,,,,,,,,1.0764,C67,Grade Type DDS Type A,Core 201,S64155,,A752,,Transnistrien
,,,,,,,,,,,,1.1104,C75W,Grade DDS Type A,Supra 316L/4404,S64156,,A753,,Trinidad und Tobago
,,,,,,,,,,,,1.1106,C58D,Type DDS Type A,Forta 316L/4404,S64157,,A756,,Tschad
,,,,,,,,,,,,1.1120,C62D,DDS Type A,Prodec 316L/4404,S64158,,A757,,Tschechien
,,,,,,,,,,,,1.1121,C66D,Grade Type DDS,SAF 2507,S66545,,A765,,Tunesien
,,,,,,,,,,,,1.1132,C68D,Grade DDS,Alloy 2507,S66286,,A774,,Türkei
,,,,,,,,,,,,1.1133,C76D,Type DDS,Forta SDX 2507,S30409,,A778,,Turkmenistan
,,,,,,,,,,,,1.1140,C70D,DDS,Super Duplex,S30909,,A787,,Tuvalu
,,,,,,,,,,,,1.1141,C86D,Grade Type DS,Valbruna V257M,N08811,,A789,,Uganda
,,,,,,,,,,,,1.1148,C72D,Grade DS,Superduplex,S34709,,A790,,Ukraine
,,,,,,,,,,,,1.1149,C92D,Type DS,Acidur 4418,G41200,,A791,,Ungarn
,,,,,,,,,,,,1.1151,GS-C25 / GP240GH,DS,VDM Alloy 316LN,G92600,,A792,,Uruguay
,,,,,,,,,,,,1.1152,C78D,Grade Type 1012,Alloy 316LN,H92600,,A793,,Usbekistan
,,,,,,,,,,,,1.1157,GP240GR,Grade 1012,Cronifer 1812LCN,H13400,,A794,,Vanuatu
,,,,,,,,,,,,1.1158,C80D,Type 1012,ATI 316LN,G13400,,A803,,Vatikanstadt
,,,,,,,,,,,,1.1163,GP280GH,1012,Acidur 4429,G13350,,A813,,Venezuela
,,,,,,,,,,,,1.1167,C82D,Grade Type Temper No. 4,Supra 316L/4432,K12822,,A814,,Vereinigte Arabische Emirate
,,,,,,,,,,,,1.1169,C88D,Grade Temper No. 4,Supra 316L/4435,J12524,,A815,,Vereinigte Staaten
,,,,,,,,,,,,1.1170,U10S10 / C10RG1,Type Temper No. 4,Acidur 4435,J12522,,A820,,Vietnam
,,,,,,,,,,,,1.1172,R10S10 / C10RG2,Temper No. 4,Acidur 4436,G44220,,A827,,Weißrussland
,,,,,,,,,,,,1.1173,15S10,Grade Type C55,Acidur 4437,K14508,,A829,,Westsahara
,,,,,,,,,,,,1.1178,10S10,Grade C55,Acidur 4438,K31918,,A830,,Zentral­afrikanische Republik
,,,,,,,,,,,,1.1179,11SMn30 / 9SMn28,Type C55,Acidur 4439,J31550,,A837,,Zypern
,,,,,,,,,,,,1.1180,9SMn28 / 11SMn30,C55,Acidur 4440,J31500,,A841,,Macau
,,,,,,,,,,,,1.1181,11SMnPb30 / 9SMnPb28,Grade Type EDDS,Acidur 4441,K32026,,A844,,Grönland
,,,,,,,,,,,,1.1183,9SMnPb28 / 11SMnPb30,Grade EDDS,Acidur 4442,K32025,,A852,,
,,,,,,,,,,,,1.1186,10S20,Type EDDS,Acidur 4443,K32018,,A860,,
,,,,,,,,,,,,1.1189,10SPb20,EDDS,Acidur 4444,K31718,,A866,,
,,,,,,,,,,,,1.1191,15S22 / 15S20,Grade Type Temper No. 3,Acidur 4445,K81340,,A872,,
,,,,,,,,,,,,1.1192,22S20,Grade Temper No. 3,Ultra 317L,K71340,,A875,,
,,,,,,,,,,,,1.1193,15SMn13,Type Temper No. 3,Alloy 317L,K41853,,A877,,
,,,,,,,,,,,,1.1201,35S20,Temper No. 3,Ultra 4439,J41501,,A887,,
,,,,,,,,,,,,1.1203,46S20 / 45S20,Grade Type DS Type B,Alloy 317LMN,K22033,,A890,,
,,,,,,,,,,,,1.1206,60S22 / 60S20,Grade DS Type B,Valbruna V274M/DE,G31400,,A895,,
,,,,,,,,,,,,1.1207,11SMn37 / 9SMn36,Type DS Type B,Duplex,G33106,,A908,,
,,,,,,,,,,,,1.1208,11SMnPb37 / 9SMnPb36,DS Type B,"10RE51, S44",H43200,,A914,,
,,,,,,,,,,,,1.1209,35SPb20,Grade Type FS Type A,10RE51 / SS44,G46170,,A915,,
,,,,,,,,,,,,1.1213,46SPb20 / 45SPb20,Grade FS Type A,S44 / 10RE51,G43200,,A928,,
,,,,,,,,,,,,1.1219,60SPb22 / 60SPb20,Type FS Type A,SAF 2205,K13050,,A943,,
,,,,,,,,,,,,1.1221,38SMn28,FS Type A,Sandvik SAF 2205,J02503,,A946,,
,,,,,,,,,,,,1.1223,44SMn28,Grade Type DS ,Duplex Cr 22,K21903,,A949,,
,,,,,,,,,,,,1.1231,36SMn14,DS ,Cronifer 2205 LCN,K21010,,A954,,
,,,,,,,,,,,,1.1241,EStE285 / P275NL2,LF1,Forta DX 2205,K20910,,A959,,
,,,,,,,,,,,,1.1248,EStE355 / P355NL2,Grade Type LF1,Valbruna V225MN,K12554,,A965,,
,,,,,,,,,,,,1.1249,"GS-20Mn5 / G20Mn5, G19Mn5",Grade LF1,Acidur 4462,K12539,,A968,,
,,,,,,,,,,,,1.1269,C10E / Ck10,Type LF1,Cronifer 2525 LCN,K12529,,A982,,
,,,,,,,,,,,,1.1273,C15E2C / Cq15,Grade Type I,2RE69,K12054,,A988,,
,,,,,,,,,,,,1.1274,20Mn5,Type I ,Ultra 725LN,K12042,,A989,,
,,,,,,,,,,,,1.1520,C15R / Cm15,Grade Type III,Sandvik 2RE69,K93160,,A995,,
,,,,,,,,,,,,1.1525,C15E / Ck15,Type III,Forta SDX 100,K93120,,A999,,
,,,,,,,,,,,,1.1535,C16E / Ck15Ai,Type I,SAF 32760,K92890,,AS1163,,
,,,,,,,,,,,,1.1545,C22R / Cm22,Grade 1015,Uranus 52 N,K92940,,AS1528-1,,
,,,,,,,,,,,,1.1554,C22E / Ck22,1015,Ferrinox 255,K92710,,AS1528-2,,
,,,,,,,,,,,,1.1555,C20E2C / Cq22,Grade MT1015,Alloy F255,K12766,,AS1528-3,,
,,,,,,,,,,,,1.1563,40Mn4,MT1015,Acidur 4509,G98400,,AS1528-4,,
,,,,,,,,,,,,1.1573,C25E / Ck25,Grade Type 1023,Acidur 4511,G43400,,FA204,,
,,,,,,,,,,,,1.1620,C25R / Cm25,Grade 1023,Corrodur 4512,G86200,,A1028,,
,,,,,,,,,,,,1.1625,36Mn5,Type 1023,Supra 444/4521,H86170,,A1022,,
,,,,,,,,,,,,1.1645,20Mn6,1023,926,K12147,,A1008,,
,,,,,,,,,,,,1.1730,28Mn6,Grade Type 1022,Ultra 6XN,H86200,,A1010,,
,,,,,,,,,,,,1.1740,C35EC / Cq35,Grade 1022,Alloy 6XN,G86170,,A1031,,
,,,,,,,,,,,,1.1744,30Mn5,Type 1022,Alloy 926,H87200,,A1021,,
,,,,,,,,,,,,1.1750,C30E / Ck30,1022,Alloy 926/N08926,H86300,,A1011,,
,,,,,,,,,,,,1.1820,C30R / Cm30,Grade Type UNS G10150,Cronifer 1925hMo,G87350,,A1011 SS,,
,,,,,,,,,,,,1.1830,C35R / Cm35,Grade UNS G10150,Cronifer 1925hMo/N08926,G86300,,B111,,
,,,,,,,,,,,,1.2002,C35E / Ck35,Type UNS G10150,Incoloy 25-6MO,K11640,,B122,,
,,,,,,,,,,,,1.2003,Cf35(C35G),UNS G10150,Incoloy 25-6MO/N08926,K13049,,B127,,
,,,,,,,,,,,,1.2004,C40E / Ck40,Grade Type UNS G10230,Alloy 25-6MO,H87400,,B151,,
,,,,,,,,,,,,1.2008,C40R / Cm40,Grade UNS G10230,Alloy 25-6MO/N08926,H86400,,B160,,
,,,,,,,,,,,,1.2056,C45E / Ck45,Type UNS G10230,NAS 255NM,G87420,,B161,,
,,,,,,,,,,,,1.2057,C45EC / Cq45,UNS G10230,Acidur 4529,G87400,,B162,,
,,,,,,,,,,,,1.2063,Cf45(C45G),Grade Type UNS G10200,15-7PH,G86400,,B163,,
,,,,,,,,,,,,1.2067,C45R / Cm45,Grade UNS G10200,Alloy 632,K24064,,B164,,
,,,,,,,,,,,,1.2080,C55E / Ck55,Type UNS G10200,Alloy 13-8 Mo,H43406,,B165,,
,,,,,,,,,,,,1.2082,C50E / Ck50,UNS G10200,VDM Alloy 904L,G43406,,B166,,
,,,,,,,,,,,,1.2083,C10R,Grade Type A1,Alloy 904L,G43376,,B167,,
,,,,,,,,,,,,1.2085,C16R,Grade A1,Ultra 904L,G43370,,B168,,
,,,,,,,,,,,,1.2101,C55R / Cm55,Type A1,ATI 904L,K23028,,B171,,
,,,,,,,,,,,,1.2103,Cf53(C53G),A1 ,Uranus B6,H43400,,B210,,
,,,,,,,,,,,,,Cf54 / C56E2,Grade Type B2,Acidur 4539,G98500,,B211,,
,,,,,,,,,,,,1.2108,C60E / Ck60,Grade B2,Core 321/4541,F1270,,B234,,
,,,,,,,,,,,,1.2109,C60R / Cm60,Type B2,Acidur 4541,G48200,,B241,,
,,,,,,,,,,,,1.2127,C67S / Ck67,B2,17-4PH,H93106,,B265,,
,,,,,,,,,,,,1.2129,C50R / Cm50,Grade Type 1025,Acidur 4542,H93100,,B267,,
,,,,,,,,,,,,1.2162,C75S / Ck75,Grade 1025,15-5PH,G93106,,B31.1,,
,,,,,,,,,,,,1.2190,Cf70(C70G),Type 1025,Alloy 15-5PH,H47180,,B31.3,,
,,,,,,,,,,,,1.2201,C85S / Ck85,1025,Formadur PH X Superclean,G47180,,B315,,
,,,,,,,,,,,,1.2206,90Mn4,Grade Type M1025,UNS S31254 ,J42215,,B333,,
,,,,,,,,,,,,1.2208,C100S / Ck101,Grade M1025,254SMO,J42240,,B335,,
,,,,,,,,,,,,1.2210,C70U / C70W1,Type M1025,SMO254,J42220,,B337,,
,,,,,,,,,,,,1.2235,C70W,M1025,Ultra 254 SMO,J42015,,B337/B338,,
,,,,,,,,,,,,1.2241,C80U / C80W1,Grade Type UNS G10250,17-4 PH,J92730,,B338,,
,,,,,,,,,,,,1.2242,C90U,Grade UNS G10250,Core 347/4550,J92720,,B344,,
,,,,,,,,,,,,1.2243,C105U / C105W1,Type UNS G10250,Alloy 347,J92610,,B348,,
,,,,,,,,,,,,1.2248,C110U / C110W,UNS G10250,Alloy 347/347H,J92600,,B359,,
,,,,,,,,,,,,1.2249,C120U,Grade Type B Type S,SANICRO 30,H50460,,B363,,
,,,,,,,,,,,,1.2303,C125U / C125W,Grade B Type S,Alloy 800,G51400,,B366,,
,,,,,,,,,,,,1.2305,C135U / C135W,Type B Type S,31,H51500,,B367,,
,,,,,,,,,,,,1.2307,C70W2,B Type S,Alloy 31,G51500,,B381,,
,,,,,,,,,,,,1.2309,C80W2,Grade Type F46,Alloy 31/N08031,G50460,,B388,,
,,,,,,,,,,,,1.2311,C105W2,Grade F46,Nicrofer 3127 hMo,H50401,,B395,,
,,,,,,,,,,,,1.2312,C45U / C45W,Type F46,Nicrofer 3127 hMo/N08031,B50401,,B407,,
,,,,,,,,,,,,1.2313,C60U / C60W,F46,VDM FM 31,G50150,,B408,,
,,,,,,,,,,,,1.2316,C67W,Grade Type WPHY 46,FM 31,H61180,,B409,,
,,,,,,,,,,,,1.2319,C55W,Grade WPHY 46,Alloy FM31,G61180,,B423,,
,,,,,,,,,,,,1.2323,C85U / C85W,Type WPHY 46,Nicrofer S 3127,G51170,,B424,,
,,,,,,,,,,,,1.2327,125Cr2 / 125Cr1,WPHY 46,Alloy 28,G51150,,B425,,
,,,,,,,,,,,,1.2328,75Cr1,Grade Type X46,Sanicro 28,G46150,,B43,,
,,,,,,,,,,,,1.2329,85Cr1,Grade X46,Nicrofer 3127 LC,G51200,,B432,,
,,,,,,,,,,,,1.2341,140Cr2 / 140Cr3,Type X46,Alloy 24,H51300,,B434,,
,,,,,,,,,,,,1.2342,90Cr3,X46,NIROSTA 4565 S,G51300,,B435,,
,,,,,,,,,,,,1.2343,105Cr4,Grade 1017,Remanit 4565 S,H51320,,B443,,
,,,,,,,,,,,,1.2344,145Cr6,1017,Ultra 4565,G51320,,B444,,
,,,,,,,,,,,,1.2345,102Cr6 / 100Cr6,Grade Type 1017,Acidur 4567,H51350,,B446,,
,,,,,,,,,,,,1.2353,X210Cr12,Type 1017,Dura 17-7PH,G51350,,B462,,
,,,,,,,,,,,,1.2357,X21Cr13,Grade 60-30,Supra 316Ti/4571,H51400,,B463,,
,,,,,,,,,,,,1.2358,X40Cr14 / X42Cr13,60-30,Sanmac 4571,K15590,,B464,,
,,,,,,,,,,,,1.2360,X33CrS16,Grade Type 60-30,PH 15-7 Mo,G92540,,B466,,
,,,,,,,,,,,,1.2361,62SiMnCr4,Type 60-30,Dura 15-7PH,G92620,,B467,,
,,,,,,,,,,,,1.2362,58SiCr8,Grade 1024,Acidur 1.4578,G50601,,B468,,
,,,,,,,,,,,,1.2362.11,,Grade Type 1024,VDM Alloy 33,H50501,,B471,,
,,,,,,,,,,,,1.2363,90CrSi5,Type 1024,Nicrofer 3033,G51601,,B472,,
,,,,,,,,,,,,1.2365,125CrSi5,1024,Alloy 33/R20033,G50501,,B473,,
,,,,,,,,,,,,1.2367,105MnCr4,Grade 1524,33,H51200,,B474,,
,,,,,,,,,,,,1.2368,200CrMn8,Grade Type 1524,Alloy 33,H51600,,B475,,
,,,,,,,,,,,,1.2369,21MnCr5,Type 1524,VDM FM 33,H51550,,B511,,
,,,,,,,,,,,,1.2376,X165CrV12,1524,FM 33,G51600,,B514,,
,,,,,,,,,,,,1.2378,140CrV1,Grade C ,Alloy FM 33,K13047,,B515,,
,,,,,,,,,,,,1.2379,31CrV2,Grade 60 ,Ultra 654 SMO,H41200,,B516 ,,
,,,,,,,,,,,,1.2379PLUS,115CrV3,Grade Type X42,Avesta 654 SMO,G41300,,B516/517,,
,,,,,,,,,,,,1.2381,80CrV2,Grade X42,SINOXX 4712,H41300,,B517,,
,,,,,,,,,,,,1.2414,51CrMnV4 / 51CrV4 / 50CrVa,Type X42,SICRO 8,H41370,,B535,,
,,,,,,,,,,,,1.2419,59CrV4,X42,Permodur 4713,H41350,,B536,,
,,,,,,,,,,,,1.2436,61CrSiV5,Grade Type X42R,Pyrodur 4718,G41370,,B543,,
,,,,,,,,,,,,1.2442,38SiCrV6,Grade X42R,Sicromal,G41350,,B546,,
,,,,,,,,,,,,1.2453,45SiCrV6,Type X42R,Permodur 4724,K14047,,B550,,
,,,,,,,,,,,,1.2510,100CrMo5,X42R,Therma 4724,G41420,,B551,,
,,,,,,,,,,,,1.2516,102CrMo6,A105,SICRO 9,G41400,,B552,,
,,,,,,,,,,,,1.2519,29CrMoV9,Grade Type A105N,VDM Aluchrom W,H41450,,B564,,
,,,,,,,,,,,,1.2542,65MnCrMo4,Grade A105N,Aluchrom W,H41420,,B572,,
,,,,,,,,,,,,1.2550,40CrMnMo7,Type A105N,OHMALOY 40,H41400,,B573,,
,,,,,,,,,,,,1.2552,40CrMnNiMo8-6-4,A105N,Aluchrom 4 18 YHf,G41450,,B574,,
,,,,,,,,,,,,1.2562,40CrMnMoS8-6,Grade Type E,Valbruna X17AL,H41500,,B575,,
,,,,,,,,,,,,1.2564,21CrMo10,Type E,SICRO 10,H86500,,B578,,
,,,,,,,,,,,,1.2567,X38CrMo16 / X36CrMo17,Grade E,Permodur 4742,H41470,,B581,,
,,,,,,,,,,,,1.2581,X64CrMo14,E,VDM Crofer 22 H,G86500,,B582,,
,,,,,,,,,,,,1.2601,48CrMoV6-7,Grade Type 4,Crofer 22 H,G41500,,B599,,
,,,,,,,,,,,,1.2603,86CrMoV7,Grade 4,VDM Crofer 22 APU,G41470,,B603,,
,,,,,,,,,,,,1.2604,45CrMoV7,Type 4,Crofer 22 APU,H41610,,B608,,
,,,,,,,,,,,,1.2606,46CrSiMoV7,4,SICRO 12,G41610,,B619,,
,,,,,,,,,,,,1.2622,6CrMo15-5 / X6CrMo4,Grade Type 1A,SICROMAL 12,G41210,,B620,,
,,,,,,,,,,,,1.2631,X35CrMoV5-1-1,Grade 1A,VDM Aluchrom 0,G41180,,B621,,
,,,,,,,,,,,,1.2662,X37CrMoV5-1 / X38CrMoV5-1,Type 1A,Aluchrom 0,H41180,,B622,,
,,,,,,,,,,,,1.2678,X40CrMoV5-1,1A,VDM Aluchrom I,G86520,,B625,,
,,,,,,,,,,,,1.2703,X50CrMoV5-1,Grade Type LF2,Aluchrom I,G86250,,B626,,
,,,,,,,,,,,,1.2709,27CrMoV6-12,Grade LF2,VDM Aluchrom Y Hf,K12122,,B637,,
,,,,,,,,,,,,1.2710,50CrMoV13-14,Type LF2,Aluchrom Y Hf,K11597,,B639,,
,,,,,,,,,,,,1.2711,60CrMoV18-5,LF2,Aluchrom Y,K12062,,B649,,
,,,,,,,,,,,,1.2713,X48VrMoV8-1-1,Grade Type I+II,VDM Aluchrom Y   ,K11789,,B670,,
,,,,,,,,,,,,1.2714,X91CrMoV18,Grade I+II,Therma 153 MA,K11757,,B672,,
,,,,,,,,,,,,1.2718,X63CrMoV5-1,Type I+II,Avesta 153 MA,K11562,,B674,,
,,,,,,,,,,,,1.2721,X63CrMoV5-1SO,I+II,Alloy 153 MA,K11547,,B675,,
,,,,,,,,,,,,1.2726,X100CrMoV5 / X100CrMoV5-1,Grade Type M1012,Permodur 4828,K12073,,B676,,
,,,,,,,,,,,,1.2731,32CrMoV12-28 / X32CrMoV33,Grade M1012,Alloy 253 MA,K11598,,B677,,
,,,,,,,,,,,,1.2735,X38CrMoV5-3,Type M1012,Avesta 253 MA,K11568,,B68,,
,,,,,,,,,,,,1.2737,X41CrMoV531,M1012,Therma 253 MA,J12073,,B691,,
,,,,,,,,,,,,1.2738,81MoCrV42-16,Grade Type F,Permodur 4841,J12072,,B704,,
,,,,,,,,,,,,1.2740,X96CrMoV12,Grade F ,Cronifer 2520,J11872,,B705,,
,,,,,,,,,,,,1.2743,X220CrVMo12-2,Type F,Cronifer 2520NV,K41545,,B718,,
,,,,,,,,,,,,1.2744,X153CrMoV12 / X155CrVMo12-1,F ,VDM Alloy 840,K42544,,B719,,
,,,,,,,,,,,,1.2745,73MoV5-2,Grade Type 65-35,Alloy 840,S50200,,B722,,
,,,,,,,,,,,,1.2746,120W4,Type 65-35,ATI 840,S50100,,B723,,
,,,,,,,,,,,,1.2747,105WCr6,Grade 65-35,840,K41245,,B725,,
,,,,,,,,,,,,1.2762,X210CrW12,65-35,Incoloy Alloy 840,J42045,,B726,,
,,,,,,,,,,,,1.2764,115W8,Grade B   ,Alloy 353 MA,K21590,,B729,,
,,,,,,,,,,,,1.2766,X130W5,B  ,Avesta 353 MA,K21390,,B730,,
,,,,,,,,,,,,1.2767,100MnCrW4,Grade Type BR,SANDVIK 353 MA,J22091,,B75,,
,,,,,,,,,,,,1.2779,120WV4,Grade BR ,Alloy ACI HT-30,J21890,,B751,,
,,,,,,,,,,,,1.2782,110WCrV5,Type BR,VDM Alloy HT 30,K90941,,B753,,
,,,,,,,,,,,,1.2786,45WCrV7,BR,Alloy HT 30,S50488,,B775,,
,,,,,,,,,,,,1.2787,60WCrV8 / 60WCrV7,Grade Type G,DS,J82090,,B805,,
,,,,,,,,,,,,1.2796,80WCrV8,Grade G,Alloy DS,J21610,,B829,,
,,,,,,,,,,,,1.2823,142WV13,Type G,Alloy DS/N08330,J12092,,B861,,
,,,,,,,,,,,,1.2826,30WCrV15-1,G,N08330,K14072,,B862,,
,,,,,,,,,,,,1.2833,30WCrV17-2,Grade F,Valbruna AN3,K11591,,B865,,
,,,,,,,,,,,,1.2834,X30WCrV9-3,F,Valbruna AN3/N08330,K11572,,B88,,
,,,,,,,,,,,,1.2838,X165CrMoV12,Grade Type WPC,330,G61500,,B906,,
,,,,,,,,,,,,1.2842,45CrVMoW5-8,Grade WPC,Alloy 330,H61500,,B938,,
,,,,,,,,,,,,1.2880,73WCrMoV2-2,Type WPC,Alloy 330/N08330,K23745,,F67,,
,,,,,,,,,,,,1.2884,X37CrMoW5-1,WPC,Nicrofer 3718So,K23510,,MIL-N-46025,,
,,,,,,,,,,,,1.2885,X60WCrMoV9-4,Grade Type WPHY42,Nicrofer 3718So/N08330,E71400,,MIL-C-5031,,
,,,,,,,,,,,,1.2886,X50CrMoW9-1-1,Grade WPHY42,Valbruna AN3-US,K52440,,MIL-I-23011 Class 1,,
,,,,,,,,,,,,1.2888,X30WCrCoV9-3,Type WPHY42,Valbruna AN3-US/Alloy 330,K12542,,MIL-C-1726F,,
,,,,,,,,,,,,1.2889,X45CoCrWV5-5-5,WPHY42,Valbruna AN3-US/N08330,K12022,,MIL-C-24679,,
,,,,,,,,,,,,1.2891,74NiCr2,Grade Type X42N,Nicrofer 3718,K12021,,MIL-T-16420K,,
,,,,,,,,,,,,1.2990,X3NiCoMoTi18-9-5,Grade X42N,Nicrofer 3718/N08330,K12003,,MIL-C-15726,,
,,,,,,,,,,,,1.2999,45NiCr6,Type X42N,Nicrofer 3718/Alloy 330,K11803,,MIL-T-15005,,
,,,,,,,,,,,,1.3202,54NiCrMoV6,X42N,800,K11742,,MIL-E-22200/4,,
,,,,,,,,,,,,1.3207,55NiCrMoV6,Grade Type F42,Alloy 800/N08800,K12524,,MIL-T-22214,,
,,,,,,,,,,,,1.3243,55NiCrMoV7 / 56NiCrMoV7,Grade F42,N08800,K12202,,MIL-T-16420,,
,,,,,,,,,,,,1.3245,55NiCr10,Type F42,Incoloy 800,K12447,,MIL-S-16598,,
,,,,,,,,,,,,1.3246,50NiCr13,F42,Incoloy 800/N08800,K02002,,MIL-I-23011 Class 7,,
,,,,,,,,,,,,1.3247,26NiCrMoV5,Grade Type X52,800H,K12004,,MIL-N-14411C (MR),,
,,,,,,,,,,,,1.3249,X50NiCrWV13-13,Grade X52,800/800H,K02900,,MIL-B-18907,,
,,,,,,,,,,,,1.3255,15NiCr14,Type X52,Alloy 800H,K21650,,MIL-B-20292,,
,,,,,,,,,,,,1.3257,28NiCrV5,X52,Alloy 800H/N08810,K21604,,MIL-S-5059,,
,,,,,,,,,,,,1.3265,40CrMnNiMo8-6-4 / 40CrMnNiMo8-6-1,Grade Type 2H,N08810,K11872,,MIL-T-9046,,
,,,,,,,,,,,,1.3302,28NiCrMoV10,Grade 2H,Incoloy 800H,K11856,,MIL-T-9047,,
,,,,,,,,,,,,1.3318,60NiCrMoV12-4,Type 2H,Incoloy 800H/N08810,K11847,,MIL-R-81556,,
,,,,,,,,,,,,1.3333,57NiCrMoV7-7,2H,Sanmac 4541,K11804,,MIL-R-81588,,
,,,,,,,,,,,,1.3339,15NiCr18,Grade Type X2,Valbruna AIST ,K11683,,MIL-F-83142,,
,,,,,,,,,,,,1.3340,45NiCrMoV16-6,Grade X2,Core 321/4542,K11682,,MIL-T-5066,,
,,,,,,,,,,,,1.3341,28NiMo17,Type X2,Sanmac 4542,K11662,,MIL-T-3520,,
,,,,,,,,,,,,1.3342,75CrMoNiW6-7,X2,Acidur 4543,K11646,,MIL-S-11310,,
,,,,,,,,,,,,1.3343,X19NiCrMo4,Grade Type 1045,Core 321/4543,K11630,,QQ-N-281D Amendment 2 Class A Form 1,,
,,,,,,,,,,,,1.3344,35NiCrMo16,Grade 1045,Sanmac 4543,K11625,,QQ-N-281D Amendment 2 Class A Form 6,,
,,,,,,,,,,,,1.3346,45NiCrMo16 / X45NiCrMo4,Type 1045,Acidur 4544,K11576,,"QQ-N-286 Form 1, 2",,
,,,,,,,,,,,,1.3348,X6NiCrTi26-15,1045,556,K11523,,"QQ-N-281 Form 4, 6",,
,,,,,,,,,,,,1.3351,X16CrNiSi25-20,Grade Type UNS G10450,Haynes 556,K11511,,"QQ-N-281 Form 1, 2",,
,,,,,,,,,,,,1.3355,X13NiCrSi36-16,Grade UNS G10450,Haynes 556/R30556,K02204,,QQ-N-281 Form 5,,
,,,,,,,,,,,,1.3401,X23CrNi17,Type UNS G10450,Alloy 556,K12043,,QQ-N-281 D Class B Form 1 Amendment I & II,,
,,,,,,,,,,,,1.3402,15NiCuAl12-10-10,UNS G10450,Incoloy 330,K11538,,QQ-N-281,,
,,,,,,,,,,,,1.3501,70Si7,Grade Type UNS G10430,Incoloy 330/N08330,K11430,,QQ-N-286,,
,,,,,,,,,,,,1.3503,60MnSiCr4,Grade UNS G10430,VDM Cronifer 40B,K02601,,QQ-S-766,,
,,,,,,,,,,,,1.3505,100V1,Type UNS G10430,Cronifer 40B,K12044,,QQ-S-700,,
,,,,,,,,,,,,1.3520,105V / T72302,UNS G10430,P92,K12032,,DNV OS-F101,,
,,,,,,,,,,,,1.3536,145V33,Type 65 ,Pyrodur 4903,K11567,,DNVGL RP-F101,,
,,,,,,,,,,,,1.3537,90MnCrV8,Grade Type lb,Pyrodur,K11541,,CSA Z245.1,,
,,,,,,,,,,,,1.3543,X165CrCoMo12,Grade lb,Pyrodur 4923,K11552,,NACE MR 0175/ISO15156,,
,,,,,,,,,,,,1.3549,X210CrCoW12,Type lb,Jethete,K11535,,NACE MR 0103,,
,,,,,,,,,,,,1.3551,X32CrMoCoV3-3-3,lb,Böhler T552,K11510,,NACE MR 0175 ,,
,,,,,,,,,,,,1.3553,X15CrCoMoV10-10-5,Grade Type 1040,Alloy 286,K12609,,NACE MR 0103/ISO15156,,
,,,,,,,,,,,,1.3561,X20CoCrWMo10-9,Grade 1040,A286,K12211,,NSF 60,,
,,,,,,,,,,,,1.3563,X45CoCrMoV5-5-3,Type 1040,BÖHLER T200 - Alloy 286,K12010,,NSF 61,,
,,,,,,,,,,,,1.3565,34CrAlNi7,1040,Therma 304H/4948,C35300,,NSF 372,,
,,,,,,,,,,,,1.3802,X100CrMoV8-1-1,Grade Type EH32,Avesta 18-8,C35330,,API 5L PSL 1,,
,,,,,,,,,,,,1.3805,X45MoCrV5-3-1,Grade EH32,Nicrofer 3220,C36000,,API 5L PSL 2,,
,,,,,,,,,,,,1.3813,HS12-1-4-5 / S12-1-4-5,Type EH32,Nicrofer 3220/N08810,C37000,,API 5LD,,
,,,,,,,,,,,,1.3816,HS10-4-3-10 / S10-4-3-10,EH32,800HT,C27700,,API 6A,,
,,,,,,,,,,,,1.3817,HS6-5-2-5 / S6-5-2-5,Grade Type 1551,800H/HT,C67400,,API 6ACRA,,
,,,,,,,,,,,,1.3818,HS6-5-2-5S / S6-5-2-5S,Grade 1551,Alloy 800HT,C70200,,API 5LC,,
,,,,,,,,,,,,1.3819,HS7-4-2-5 / S7-4-2-5,Type 1551,Alloy 800HT/N08811,C70500,,API 5L,,
,,,,,,,,,,,,1.3910,HS2-9-1-8 / S2-10-1-8,1551,N08811,C70700,,API 5D,,
,,,,,,,,,,,,1.3912,HS2-9-2-8 / S2-9-2-8,Grade Type UNS G10300,Nicrofer 3220HP,C72150,,API 5CT,,
,,,,,,,,,,,,1.3914,HS18-1-2-5 / S18-1-2-5,Grade UNS G10300,Nicrofer 3220HP/N08811,C71500,,F136,,
